pid,imageid,finishing,shotpower,curve,longshots,volleys,freekickaccuracy,penalties,headingaccuracy,positioning,sprintspeed,acceleration,agility,reactions,jumping,stamina,strength,balance,shortpassing,longpassing,crossing,ballcontrol,dribbling,tacticalawareness,vision,standingtackle,slidingtackle,marking,aggression,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning,poten,perfcon,perfcon_vn,perfcon_cn,perfcon_id,perfcon_kr,perfcon_th,fullname,shortname,badged,season,league,overallrating,positions,skillmoves,nation,club,birthday,height,weight,leftfoot,rightfoot,attack,defence,speciality,speciality_vn,speciality_cn,speciality_kr,hidden_score,hidden_score_vn,hidden_score_cn,hidden_score_kr,isliveboost,boostvalue
88000041,41,75,65,79,67,68,66,59,41,78,72,72,84,73,49,63,66,86,91,81,82,89,89,61,92,53,49,50,64,11,18,11,12,18,81,Good,Cao,高,Good,상,ดี,Iniesta,Iniesta,badged y2088,2016,liga-bbva,80,cm-80,4,Spain,FC Barcelona,11.5.1984 (33),171,68,4,5,3,2,"Perfect Midfielder,Acrobatic,Delivery cross,Maestro,Technician","Nhạc trưởng,Nghệ sĩ,Tạt bóng,Bậc thầy,Vũ công","完美的中场大师,杂耍高手,传中高手,节奏大师,控球大师","완벽한 미드필더,아크로바틱,택배 크로스,마에스트로,테크니션","Sharp curling shot,Play maker (AI)","Sút xoáy,Kiến tạo (AI)","a搓射高手,组织型球员 (AI)","예리한 감아차기,플레이 메이커 (AI)",,
88000330,330,77,75,74,69,79,60,68,60,80,67,64,72,80,59,71,68,79,78,65,61,78,75,36,75,32,18,30,67,16,14,18,21,19,73,Average,TB,中,Normal,보통,ดปานกลาง,Robbie Keane,R. Keane,badged y2088,2016,major-league-soccer,74,st-74,3,Ireland Republic,LA Galaxy,8.7.1980 (37),175,73,4,5,3,1,,,,,Sharp curling shot,Sút xoáy,a搓射高手,예리한 감아차기,,
88001179,1179,17,38,22,16,19,16,23,16,15,41,46,51,73,68,38,63,46,36,35,16,28,27,28,47,14,14,13,37,81,81,70,80,87,79,Good,Cao,高,Good,상,ดี,Gianluigi Buffon,G. Buffon,badged y2088,2016,serie-a,80,gk-80,1,Italy,Juventus,28.1.1978 (39),192,91,2,5,2,2,,,,,Leadership,Lãnh đạo,领导力,리더쉽,,
88001238,1238,73,82,69,76,80,81,84,40,76,40,45,60,71,36,52,72,58,86,81,75,78,72,24,87,24,16,18,63,10,17,19,16,16,76,Good,Cao,高,Good,상,ดี,Francesco Totti,F. Totti,badged y2088,2016,serie-a,72,"st-69,cf-72",3,Italy,Roma,27.9.1976 (41),180,82,5,5,2,2,"Freekick Specialist,Cannon Shooter","Chuyên gia đá phạt,Đại pháo","任意球大师,远射高手","프리킥 스페셜리스트,캐논 슈터","Leadership,Prefer long shot (AI),Play maker (AI)","Lãnh đạo,Sút xa (AI),Kiến tạo (AI)","领导力,重炮手 (AI),组织型球员 (AI)","리더쉽,중거리 슛 선호 (AI),플레이 메이커 (AI)",,
88002196,2196,14,26,16,14,14,13,19,19,11,27,22,28,71,63,28,69,35,31,22,16,21,15,16,32,19,20,14,37,70,72,53,71,73,71,Excellent,Rất cao,超高,Excellent,최상,ดดีมาก,Roman Weidenfeller,R. Weidenfeller,badged y2088,2016,bundesliga,70,gk-70,1,Germany,Borussia Dortmund,6.8.1980 (37),190,87,5,1,2,2,,,,,"Leadership,GK Swift punching","Lãnh đạo,Đấm bóng","领导力,GK 敏捷的拳击球","리더쉽,GK 날렵한 펀칭",,
88003622,3622,45,49,52,37,52,37,38,76,48,49,37,45,64,66,37,67,60,67,63,44,62,52,74,48,76,67,78,77,21,18,13,17,17,72,Average,TB,中,Normal,보통,ดปานกลาง,Ricardo Carvalho,Ricardo Carvalho,badged y2088,2016,ligue-1,71,cb-71,2,Portugal,Portugal,18.5.1978 (39),183,79,3,5,2,2,,,,,,,,,,
88004098,4098,63,74,73,67,68,62,53,70,69,50,49,56,71,72,58,68,57,69,71,59,77,70,69,75,76,68,47,77,11,13,17,19,13,80,Average,TB,中,Normal,보통,ดปานกลาง,Tiago,Tiago,badged y2088,2016,liga-bbva,70,"cm-70,cdm-68",4,Portugal,Atletico Madrid,2.5.1981 (36),183,71,3,5,2,2,,,,,Leadership,Lãnh đạo,领导力,리더쉽,,
88004667,4667,13,23,18,15,13,16,22,14,15,40,33,46,69,72,24,57,41,26,25,13,23,15,16,34,13,16,16,34,71,70,53,71,74,71,Good,Cao,高,Good,상,ดี,Morgan De Sanctis,M. De Sanctis,badged y2088,2016,serie-a,70,gk-70,1,Italy,AS Monaco,26.3.1977 (40),190,82,2,5,2,2,,,,,,,,,,
88005213,5213,27,66,46,40,32,35,47,75,36,58,59,50,65,66,60,70,58,58,54,32,53,52,71,30,74,73,77,72,21,12,20,20,14,72,Good,Cao,高,Good,상,ดี,Alessandro Gamberini,A. Gamberini,badged y2088,2016,serie-a,70,cb-70,2,Italy,Chievo Verona,27.8.1981 (36),185,80,3,5,1,3,,,,,"Prefer sliding tackle (AI),Strong Header","Xoạc bóng (AI),Đánh đầu mạnh","铲断高手 (AI),强力头球","슬라이딩 태클 선호 (AI),강력한 헤딩",,
88005471,5471,73,82,81,75,73,75,79,59,76,39,50,50,74,63,59,73,51,77,79,72,76,73,59,74,58,57,49,65,17,19,20,13,15,70,Excellent,Rất cao,超高,Excellent,최상,ดดีมาก,Frank Lampard,F. Lampard,badged y2088,2016,major-league-soccer,73,"cam-72,cm-73,cdm-66",3,England,New York City FC,20.6.1978 (39),184,89,4,5,2,2,,,,,"Prefer long pass (AI),Prefer long shot (AI)","Chuyền dài (AI),Sút xa (AI)","善于长传 (AI),重炮手 (AI)","긴 패스 선호 (AI),중거리 슛 선호 (AI)",,
