pid,imageid,finishing,shotpower,curve,longshots,volleys,freekickaccuracy,penalties,headingaccuracy,positioning,sprintspeed,acceleration,agility,reactions,jumping,stamina,strength,balance,shortpassing,longpassing,crossing,ballcontrol,dribbling,tacticalawareness,vision,standingtackle,slidingtackle,marking,aggression,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning,poten,perfcon,perfcon_vn,perfcon_cn,perfcon_id,perfcon_kr,perfcon_th,fullname,shortname,badged,season,league,overallrating,positions,skillmoves,nation,club,birthday,height,weight,leftfoot,rightfoot,attack,defence,speciality,speciality_vn,speciality_cn,speciality_kr,hidden_score,hidden_score_vn,hidden_score_cn,hidden_score_kr,isliveboost,boostvalue
"23000041","41",82,79,85,83,79,76,76,78,90,83,82,92,86,69,86,66,82,95,95,88,95,89,66,95,59,59,67,77,13,13,13,17,16,5,"0","0","0","0","0","0","Iniesta","Iniesta","badged y2023","2016","",89,"cm-89",5,"Spain","FC Barcelona","11.5.1984 (33)","171","68","4","5","3","2","Perfect Striker,Perfect Midfielder,Goal Getter,Acrobatic,Delivery cross,Cannon Shooter,Maestro,Technician,Fast runner","Cây săn bàn,Nhạc trưởng,Xạ thủ,Nghệ sĩ,Tạt bóng,Đại pháo,Bậc thầy,Vũ công,Tia chớp","完美的进球机器,完美的中场大师,进球机器,杂耍高手,传中高手,远射高手,节奏大师,控球大师,飞翼","완벽한 공격수,완벽한 미드필더,골게터,아크로바틱,택배 크로스,캐논 슈터,마에스트로,테크니션,날쌘돌이","Sharp curling shot,Play maker (AI)","Sút xoáy,Kiến tạo (AI)","搓射高手,组织型球员 (AI)","예리한 감아차기,플레이 메이커 (AI)","",""
"23001179","1179",17,45,13,15,19,16,34,32,16,33,59,75,78,68,38,60,46,36,31,16,25,22,29,48,14,14,13,64,92,89,88,85,90,5,"0","0","0","0","0","0","Gianluigi Buffon","G. Buffon","badged y2023","2016","",87,"gk-87",1,"Italy","Juventus","28.1.1978 (39)","192","91","2","5","2","2","","","","","Leadership","Lãnh đạo","领导力","리더쉽","",""
"23001238","1238",85,83,80,84,82,82,81,75,86,85,87,87,83,78,88,79,87,91,86,80,90,87,34,92,23,20,48,85,6,7,11,6,7,5,"0","0","0","0","0","0","Francesco Totti","F. Totti","badged y2023","2016","",88,"cf-86,cam-88,cm-82",5,"Italy","Roma","27.9.1976 (41)","180","82","4","5","2","2","Perfect Striker,Perfect Midfielder,Goal Getter,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Maestro,Technician,Fast runner,Solver","Cây săn bàn,Nhạc trưởng,Xạ thủ,Nghệ sĩ,Chuyên gia đá phạt,Tạt bóng,Đại pháo,Bậc thầy,Vũ công,Tia chớp,Sát thủ","完美的进球机器,完美的中场大师,进球机器,杂耍高手,任意球大师,传中高手,远射高手,节奏大师,控球大师,飞翼,终结者","완벽한 공격수,완벽한 미드필더,골게터,아크로바틱,프리킥 스페셜리스트,택배 크로스,캐논 슈터,마에스트로,테크니션,날쌘돌이,해결사","Diver,Prefer individual play (AI),Impressive Skill,Prefer long shot (AI),Play maker (AI),Pass master","Ăn vạ,Cá nhân (AI),Tinh tế,Sút xa (AI),Kiến tạo (AI),Chuyên gia chuyền bóng","假摔,独狼 (AI),花式大师,重炮手 (AI),组织型球员 (AI),传球大师","다이버,개인 플레이 선호 (AI),화려한 개인기,중거리 슛 선호 (AI),플레이 메이커 (AI),패스 마스터","",""
"23002196","2196",15,35,17,15,15,14,31,22,16,50,47,40,74,66,56,69,36,32,29,20,23,16,24,27,20,21,15,29,82,81,80,88,80,5,"0","0","0","0","0","0","Roman Weidenfeller","R. Weidenfeller","badged y2023","2016","",81,"gk-81",1,"Germany","Borussia Dortmund","6.8.1980 (37)","190","87","5","1","2","2","","","","","Leadership,GK Swift punching","Lãnh đạo,Đấm bóng","领导力,GK 敏捷的拳击球","리더쉽,GK 날렵한 펀칭","",""
"23003484","3484",43,57,62,36,49,49,57,84,47,45,56,63,80,73,72,83,66,70,65,69,73,58,83,68,86,84,86,84,26,21,24,27,20,5,"0","0","0","0","0","0","John O'Shea","J. O'Shea","badged y2023","2016","",81,"cb-81",2,"Ireland Republic","Sunderland","30.4.1981 (36)","190","84","3","5","2","3","Perfect Defender,Tanker,Vacuum Cleaner,Wall of Wail,Dominator of the air","Tảng đá,Chiến binh,Máy quét,Bức tường thép,Chuyên gia không chiến","完美防守大将,重量级球员,清道夫,抢断高手,高空制空权","완벽한 수비수,탱커,진공 청소기,통곡의 벽,공중의 지배자","","","","","",""
"23004098","4098",71,79,82,82,75,75,65,81,86,75,77,62,81,77,83,80,65,88,88,72,90,81,72,86,82,74,65,85,23,25,19,14,20,5,"0","0","0","0","0","0","Tiago","Tiago","badged y2023","2016","",84,"cm-84,cdm-81",4,"Portugal","Atletico Madrid","2.5.1981 (36)","183","71","3","5","2","2","Cannon Shooter,Maestro","Đại pháo,Bậc thầy","远射高手,节奏大师","캐논 슈터,마에스트로","","","","","",""
"23009014","9014",82,81,85,85,87,87,84,67,83,88,90,91,90,75,85,80,97,82,82,86,90,93,38,84,33,32,31,70,13,14,15,18,12,5,"0","0","0","0","0","0","Arjen Robben","A. Robben","badged y2023","2016","",86,"rw-87,rm-86",4,"Holland","Bayern Munchen","23.1.1984 (33)","180","80","5","2","3","1","Perfect Striker,Goal Getter,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner","Cây săn bàn,Xạ thủ,Nghệ sĩ,Chuyên gia đá phạt,Tạt bóng,Đại pháo,Vũ công,Tia chớp","完美的进球机器,进球机器,杂耍高手,任意球大师,传中高手,远射高手,控球大师,飞翼","완벽한 공격수,골게터,아크로바틱,프리킥 스페셜리스트,택배 크로스,캐논 슈터,테크니션,날쌘돌이","Diver,Glass Body,Prefer main feet,Prefer individual play (AI),Prefer long shot (AI)","Ăn vạ,Dễ chấn thương,Tránh sai chân thuận,Cá nhân (AI),Sút xa (AI)","假摔,玻璃人,善用惯用脚,独狼 (AI),重炮手 (AI)","다이버,유리몸,주발 선호,개인 플레이 선호 (AI),중거리 슛 선호 (AI)","",""
"23013732","13732",41,63,51,40,45,38,56,91,90,77,74,65,85,88,90,94,85,72,65,46,76,56,89,78,93,88,94,89,13,13,13,9,13,5,"0","0","0","0","0","0","John Terry","J. Terry","badged y2023","2016","",88,"cb-88",2,"England","Chelsea","7.12.1980 (37)","187","90","4","5","2","3","Perfect Defender,Tanker,Vacuum Cleaner,Wall of Wail,Dominator of the air","Tảng đá,Chiến binh,Máy quét,Bức tường thép,Chuyên gia không chiến","完美防守大将,重量级球员,清道夫,抢断高手,高空制空权","완벽한 수비수,탱커,진공 청소기,통곡의 벽,공중의 지배자","Leadership,Strong Header","Lãnh đạo,Đánh đầu mạnh","领导力,强力头球","리더쉽,강력한 헤딩","",""
"23020289","20289",87,91,88,88,71,80,79,83,91,85,79,77,87,78,88,90,87,92,86,77,91,91,77,87,80,77,76,58,9,15,10,16,14,5,"0","0","0","0","0","0","Yaya Toure","Y. Toure","badged y2023","2016","",88,"cm-88,cdm-82",3,"Ivory Coast","Manchester City","13.5.1983 (34)","189","90","4","5","2","1","Perfect Striker,Perfect Midfielder,Goal Getter,Tanker,Freekick Specialist,Cannon Shooter,Maestro,Technician,Dominator of the air,Fast runner,Solver","Cây săn bàn,Nhạc trưởng,Xạ thủ,Chiến binh,Chuyên gia đá phạt,Đại pháo,Bậc thầy,Vũ công,Chuyên gia không chiến,Tia chớp,Sát thủ","完美的进球机器,完美的中场大师,进球机器,重量级球员,任意球大师,远射高手,节奏大师,控球大师,高空制空权,飞翼,终结者","완벽한 공격수,완벽한 미드필더,골게터,탱커,프리킥 스페셜리스트,캐논 슈터,마에스트로,테크니션,공중의 지배자,날쌘돌이,해결사","Steel Body,Prefer long shot (AI),Play maker (AI)","Cứng cỏi,Sút xa (AI),Kiến tạo (AI)","不易受伤,重炮手 (AI),组织型球员 (AI)","강철몸,중거리 슛 선호 (AI),플레이 메이커 (AI)","",""
"23020801","20801",87,93,80,93,85,88,83,87,85,89,90,88,88,88,85,83,85,81,81,85,94,92,33,82,35,30,29,80,11,14,17,14,16,5,"0","0","0","0","0","0","Cristiano Ronaldo","Cristiano Ronaldo","badged y2023","2016","",88,"st-88,rw-88,rm-87",5,"Portugal","Real Madrid","5.2.1985 (32)","185","80","4","5","3","1","Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Dominator of the air,Fast runner","Cây săn bàn,Xạ thủ,Chiến binh,Nghệ sĩ,Chuyên gia đá phạt,Tạt bóng,Đại pháo,Vũ công,Chuyên gia không chiến,Tia chớp","完美的进球机器,进球机器,重量级球员,杂耍高手,任意球大师,传中高手,远射高手,控球大师,高空制空权,飞翼","완벽한 공격수,골게터,탱커,아크로바틱,프리킥 스페셜리스트,택배 크로스,캐논 슈터,테크니션,공중의 지배자,날쌘돌이","Impressive Skill,Prefer long shot (AI)","Tinh tế,Sút xa (AI)","花式大师,重炮手 (AI)","화려한 개인기,중거리 슛 선호 (AI)","",""
