pid,finishing,shotpower,curve,longshots,volleys,freekickaccuracy,penalties,headingaccuracy,positioning,sprintspeed,acceleration,agility,reactions,jumping,stamina,strength,balance,shortpassing,longpassing,crossing,ballcontrol,dribbling,tacticalawareness,vision,standingtackle,slidingtackle,marking,aggression,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning,poten,perfcon,perfcon_vn,perfcon_cn,perfcon_id,perfcon_kr,perfcon_th,fullname,shortname,badged,season,league,overallrating,positions,skillmoves,nation,club,birthday,height,weight,leftfoot,rightfoot,attack,defence,speciality,speciality_vn,speciality_cn,speciality_kr,hidden_score,hidden_score_vn,hidden_score_cn,hidden_score_kr
"6000041",57,61,63,65,62,64,63,57,72,74,73,68,67,55,64,60,70,75,74,64,71,68,55,74,65,58,57,60,6,6,6,10,9,76,"Good","Cao","高","Good","상","ดี","Iniesta","Iniesta","badged y2006","2006","liga-bbva","69","cm-69,cdm-65,cam-70",4,"Spain","FC Barcelona","11.5.1984(32)","169","64","3","5","3","2","Maestro","Bậc thầy","节奏大师","마에스트로","Sharp curling shot,Impressive Skill,Play maker (AI),Pass master","Sút xoáy,Tinh tế,Kiến tạo (AI),Chuyên gia chuyền bóng","a搓射高手,花式大师,组织型球员 (AI),传球大师","예리한 감아차기,화려한 개인기,플레이 메이커 (AI),패스 마스터"
"6000768",48,62,43,57,57,55,51,64,61,49,59,62,57,57,62,60,60,63,67,69,63,55,62,56,68,70,65,53,6,11,6,8,8,68,"Average","TB","中","Normal","보통","ดปานกลาง","Felipe","Felipe","badged y2006","2006","serie-a","63","cb-63",2,"Brazil","Udinese","31.7.1984(32)","180","75","5","3","1","2","","","","","","","",""
"6001179",8,20,6,7,6,7,20,6,11,37,52,65,75,58,47,70,46,19,18,7,18,7,22,70,6,7,6,68,77,79,66,78,84,80,"Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Gianluigi Buffon","G. Buffon","badged y2006","2006","serie-a","78","gk-78",1,"Italy","Juventus","28.1.1978(38)","191","82","3","5","2","2","","","","","","","",""
"6001219",6,56,6,9,6,7,19,10,66,45,57,40,72,73,73,71,66,45,30,7,45,7,25,65,6,7,7,76,72,71,66,73,71,74,"Good","Cao","高","Good","상","ดี","Christian Abbiati","C. Abbiati","badged y2006","2006","serie-a","71","gk-71",1,"Italy","Torino","8.7.1977(39)","191","92","3","5","2","2","","","","","","","",""
"6001238",76,77,68,78,75,77,72,58,76,76,74,77,75,66,72,59,75,81,75,75,79,78,29,87,18,15,30,70,7,10,7,9,6,79,"Good","Cao","高","Good","상","ดี","Francesco Totti","F. Totti","badged y2006","2006","serie-a","78","cam-78,cf-77,cm-73,rf-77",4,"Italy","Roma","27.9.1976(40)","180","80","4","5","2","2","Perfect Midfielder,Goal Getter,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Maestro,Technician","Nhạc trưởng,Xạ thủ,Nghệ sĩ,Chuyên gia đá phạt,Tạt bóng,Đại pháo,Bậc thầy,Vũ công","完美的中场大师,进球机器,杂耍高手,任意球大师,传中高手,远射高手,节奏大师,控球大师","완벽한 미드필더,골게터,아크로바틱,프리킥 스페셜리스트,택배 크로스,캐논 슈터,마에스트로,테크니션","Diver,Prefer individual play (AI),Impressive Skill,Prefer long shot (AI),Play maker (AI),Pass master","Ăn vạ,Cá nhân (AI),Tinh tế,Sút xa (AI),Kiến tạo (AI),Chuyên gia chuyền bóng","假摔,独狼 (AI),花式大师,重炮手 (AI),组织型球员 (AI),传球大师","다이버,개인 플레이 선호 (AI),화려한 개인기,중거리 슛 선호 (AI),플레이 메이커 (AI),패스 마스터"
"6001611",41,63,36,55,18,47,52,69,69,70,68,47,58,66,69,67,54,61,69,58,60,53,66,65,73,58,70,69,7,5,9,12,12,69,"Good","Cao","高","Good","상","ดี","Martin Stranzl","M. Stranzl","badged y2006","2006","sogaz-russian-football-championship","65","cb-65,rb-64,lb-64,cdm-65",2,"Austria","Spartak Moskva","16.6.1980(36)","190","80","3","5","2","2","","","","","","","",""
"6001625",83,73,78,71,72,76,75,59,74,81,78,77,78,50,70,67,76,74,54,66,76,78,19,73,14,10,13,36,11,6,6,11,8,77,"Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Thierry Henry","T. Henry","badged y2006","2006","barclays-premier-league","74","st-74,cf-76,lf-76",4,"France","Arsenal","17.8.1977(39)","188","83","4","5","2","2","Perfect Striker,Goal Getter,Acrobatic,Freekick Specialist,Technician,Fast runner","Cây săn bàn,Xạ thủ,Nghệ sĩ,Chuyên gia đá phạt,Vũ công,Tia chớp","完美的进球机器,进球机器,杂耍高手,任意球大师,控球大师,飞翼","완벽한 공격수,골게터,아크로바틱,프리킥 스페셜리스트,테크니션,날쌘돌이","Sharp curling shot","Sút xoáy","a搓射高手","예리한 감아차기"
"6001803",69,59,57,55,62,71,68,41,70,75,74,63,58,34,66,23,62,66,47,71,74,77,25,70,24,18,7,57,13,14,13,16,15,76,"Good","Cao","高","Good","상","ดี","Javier Saviola","J. Saviola","badged y2006","2006","liga-bbva","62","st-62,cf-68,lf-68,rf-68",3,"Argentina","FC Barcelona","11.12.1981(34)","168","60","4","5","2","1","","","","","","","",""
"6002196",10,11,7,10,10,6,9,6,22,54,45,47,75,59,43,68,66,6,6,11,13,9,14,62,9,11,7,65,72,70,62,74,68,76,"Good","Cao","高","Good","상","ดี","Roman Weidenfeller","R. Weidenfeller","badged y2006","2006","bundesliga","70","gk-70",1,"Germany","Borussia Dortmund","6.8.1980(36)","188","85","5","3","2","2","","","","","","","",""
"6002651",10,12,8,10,8,12,13,8,29,53,58,46,55,74,70,69,76,11,11,10,10,11,19,72,10,27,10,65,73,75,58,72,68,76,"Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Shay Given","S. Given","badged y2006","2006","barclays-premier-league","69","gk-69",1,"Ireland Republic","Newcastle United","20.4.1976(40)","185","84","3","5","2","2","","","","","","","",""
