pid,finishing,shotpower,curve,longshots,volleys,freekickaccuracy,penalties,headingaccuracy,positioning,sprintspeed,acceleration,agility,reactions,jumping,stamina,strength,balance,shortpassing,longpassing,crossing,ballcontrol,dribbling,tacticalawareness,vision,standingtackle,slidingtackle,marking,aggression,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning,poten,perfcon,perfcon_vn,perfcon_cn,perfcon_id,perfcon_kr,perfcon_th,fullname,shortname,badged,season,league,overallrating,positions,skillmoves,nation,club,birthday,height,weight,leftfoot,rightfoot,attack,defence,speciality,speciality_vn,speciality_cn,speciality_kr,hidden_score,hidden_score_vn,hidden_score_cn,hidden_score_kr
"7000027",63,62,69,68,70,65,54,41,65,68,70,76,69,56,67,57,68,70,57,69,75,80,34,65,40,34,47,57,6,6,4,5,6,"74","Good","Cao","高","Good","상","ดี","Joe Cole","J. Cole","badged y2007","2007","barclays-premier-league","70","rw-70,lw-70,cam-69,rm-69",4,"England","Chelsea","8.11.1981(34)","175","70","4","5","3","1","Acrobatic,Technician","Nghệ sĩ,Vũ công","杂耍高手,控球大师","아크로바틱,테크니션","Impressive Skill","Tinh tế","花式大师","화려한 개인기"
"7000041",59,61,63,66,62,64,63,54,72,70,74,68,72,55,67,61,70,75,75,64,72,74,57,75,63,60,54,60,6,6,6,10,9,"76","Good","Cao","高","Good","상","ดี","Iniesta","Iniesta","badged y2007","2007","liga-bbva","71","cm-71,cdm-66,cam-71",4,"Spain","FC Barcelona","11.5.1984(32)","169","64","4","5","3","2","Maestro,Technician","Bậc thầy,Vũ công","节奏大师,控球大师","마에스트로,테크니션","Sharp curling shot,Play maker (AI),Pass master","Sút xoáy,Kiến tạo (AI),Chuyên gia chuyền bóng","a搓射高手,组织型球员 (AI),传球大师","예리한 감아차기,플레이 메이커 (AI),패스 마스터"
"7000330",74,68,57,64,76,44,74,52,71,68,70,70,74,54,64,57,71,63,40,58,72,72,31,68,21,13,23,50,11,11,5,8,11,"71","Good","Cao","高","Good","상","ดี","Robbie Keane","R. Keane","badged y2007","2007","barclays-premier-league","68","st-68,cf-69",3,"Ireland Republic","Tottenham Hotspur","8.7.1980(36)","175","70","3","5","3","1","","","","","","","",""
"7001179",8,20,6,7,6,7,20,6,11,37,52,61,75,58,47,68,46,19,18,7,18,7,25,53,6,7,6,68,76,77,67,76,84,"80","Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Gianluigi Buffon","G. Buffon","badged y2007","2007","serie-a","77","gk-77",1,"Italy","Juventus","28.1.1978(38)","191","82","3","5","2","2","","","","","","","",""
"7001219",6,32,6,9,6,7,19,10,66,45,57,46,72,73,47,71,66,29,30,7,20,7,20,48,6,7,7,60,68,68,66,70,68,"73","Good","Cao","高","Good","상","ดี","Christian Abbiati","C. Abbiati","badged y2007","2007","liga-bbva","68","gk-68",1,"Italy","Atletico Madrid","8.7.1977(39)","191","92","3","5","2","2","","","","","","","",""
"7001238",76,77,66,78,74,74,71,57,78,63,73,76,78,48,58,59,74,80,74,75,78,77,31,80,18,15,10,64,7,10,7,9,6,"78","Good","Cao","高","Good","상","ดี","Francesco Totti","F. Totti","badged y2007","2007","serie-a","76","cf-76,cam-77,cm-71,rf-76",4,"Italy","Roma","27.9.1976(40)","180","80","4","5","2","2","Perfect Midfielder,Goal Getter,Acrobatic,Freekick Specialist,Cannon Shooter,Maestro,Technician","Nhạc trưởng,Xạ thủ,Nghệ sĩ,Chuyên gia đá phạt,Đại pháo,Bậc thầy,Vũ công","完美的中场大师,进球机器,杂耍高手,任意球大师,远射高手,节奏大师,控球大师","완벽한 미드필더,골게터,아크로바틱,프리킥 스페셜리스트,캐논 슈터,마에스트로,테크니션","Diver,Prefer individual play (AI),Impressive Skill,Prefer long shot (AI),Play maker (AI),Pass master","Ăn vạ,Cá nhân (AI),Tinh tế,Sút xa (AI),Kiến tạo (AI),Chuyên gia chuyền bóng","假摔,独狼 (AI),花式大师,重炮手 (AI),组织型球员 (AI),传球大师","다이버,개인 플레이 선호 (AI),화려한 개인기,중거리 슛 선호 (AI),플레이 메이커 (AI),패스 마스터"
"7001625",82,73,74,73,69,75,73,55,75,80,80,78,78,45,70,66,75,73,57,64,77,78,20,75,14,11,13,34,11,6,6,11,8,"77","Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Thierry Henry","T. Henry","badged y2007","2007","liga-bbva","74","st-74,cf-76,lf-76",4,"France","FC Barcelona","17.8.1977(39)","188","83","4","5","2","2","Perfect Striker,Goal Getter,Acrobatic,Freekick Specialist,Technician,Fast runner","Cây săn bàn,Xạ thủ,Nghệ sĩ,Chuyên gia đá phạt,Vũ công,Tia chớp","完美的进球机器,进球机器,杂耍高手,任意球大师,控球大师,飞翼","완벽한 공격수,골게터,아크로바틱,프리킥 스페셜리스트,테크니션,날쌘돌이","Sharp curling shot","Sút xoáy","a搓射高手","예리한 감아차기"
"7001803",69,62,59,63,61,61,67,53,72,74,74,78,71,43,55,40,62,67,53,62,74,74,23,62,15,8,18,36,7,6,6,6,6,"74","Good","Cao","高","Good","상","ดี","Javier Saviola","J. Saviola","badged y2007","2007","liga-bbva","69","rf-69,cf-69,lf-69,st-66",3,"Argentina","Real Madrid","11.12.1981(34)","168","60","4","5","2","1","Acrobatic","Nghệ sĩ","杂耍高手","아크로바틱","Impressive Skill","Tinh tế","花式大师","화려한 개인기"
"7002155",74,71,58,61,57,57,40,66,66,69,66,74,71,68,65,70,71,64,41,53,73,73,30,73,23,18,16,58,4,6,5,5,6,"74","Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Johan Elmander","J. Elmander","badged y2007","2007","ligue-1","69","cf-69,st-69,cam-68,rm-66",3,"Sweden","Toulouse FC","27.5.1981(35)","188","85","4","5","2","3","Acrobatic,Technician,Solver","Nghệ sĩ,Vũ công,Sát thủ","杂耍高手,控球大师,终结者","아크로바틱,테크니션,해결사","Short tempered,Impressive Skill","Tranh cãi trọng tài,Tinh tế","与裁判争论,花式大师","다혈질,화려한 개인기"
"7002196",10,11,7,10,10,6,9,6,22,54,45,47,74,59,43,68,66,11,11,11,13,9,12,62,9,11,7,65,71,69,62,73,68,"74","Good","Cao","高","Good","상","ดี","Roman Weidenfeller","R. Weidenfeller","badged y2007","2007","bundesliga","70","gk-70",1,"Germany","Borussia Dortmund","6.8.1980(36)","188","85","5","3","2","2","","","","","","","",""
