pid	imageid	finishing	shotpower	curve	longshots	volleys	freekickaccuracy	penalties	headingaccuracy	positioning	sprintspeed	acceleration	agility	reactions	jumping	stamina	strength	balance	shortpassing	longpassing	crossing	ballcontrol	dribbling	tacticalawareness	vision	standingtackle	slidingtackle	marking	aggression	gkdiving	gkhandling	gkkicking	gkreflexes	gkpositioning	poten	perfcon	perfcon_vn	perfcon_cn	perfcon_id	perfcon_kr	perfcon_th	fullname	shortname	badged	season	league	overallrating	positions	skillmoves	nation	club	birthday	height	weight	leftfoot	rightfoot	attack	defence	speciality	speciality_vn	speciality_cn	speciality_kr	hidden_score	hidden_score_vn	hidden_score_cn	hidden_score_kr	isliveboost	boostvalue
93000001	1	11	24	22	13	11	23	24	13	17	32	32	42	68	82	37	66	45	26	24	15	21	13	36	39	11	13	11	14	87	93	93	91	92	93	Average	TB	?	Normal	??	????????	David Seaman	D. Seaman	badged y2093	wl	world-league	88	gk-88	1	England	World Legend	19.9.1963 (54)	193	93	3	5	2	2					"Leadership,GK Swift punching,GK Long Throw"	"Lãnh ??o,??m bóng,Th? môn ném xa"	"???,GK ??????,GK ?????"	"???,GK ??? ??,GK ?? ???"		
93000051	51	97	92	87	85	95	89	95	97	95	86	88	83	91	92	89	92	83	81	68	75	85	82	49	81	72	60	26	84	10	11	15	14	14	94	Excellent	R?t cao	??	Excellent	??	??????	Alan Shearer	A. Shearer	badged y2093	wl	world-league	91	st-91	5	England	World Legend	13.8.1970 (47)	182	78	3	5	3	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Cannon Shooter,Technician,Dominator of the air,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p"	"???????,????,?????,????,?????,????,????,?????,??"	"??? ???,???,??,?????,??? ??????,?? ??,????,??? ???,????"	Strong Header	?ánh ??u m?nh	????	??? ??		
93000195	93000195	87	89	79	86	89	84	88	88	90	90	88	89	93	86	86	87	93	81	65	65	87	87	71	83	54	37	32	76	10	17	11	14	12	91	Good	Cao	?	Good	?	??	Robbie Fowler	R. Fowler	badged y2093	wl	world-league	88	"st-88,cf-87"	5	England	World Legend	9.4.1975 (42)	180	73	5	3	2	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Cannon Shooter,Technician,Dominator of the air,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p,Sát th?"	"???????,????,?????,????,?????,????,????,?????,??,???"	"??? ???,???,??,?????,??? ??????,?? ??,????,??? ???,????,???"	Strong Header	?ánh ??u m?nh	????	??? ??		
93000240	240	69	86	76	88	71	79	77	86	84	85	88	82	93	89	99	95	90	94	91	73	90	81	94	90	95	87	89	99	15	19	17	19	19	93	Excellent	R?t cao	??	Excellent	??	??????	Roy Keane	R. Keane	badged y2093	wl	world-league	90	"cm-90,cdm-92"	5	Ireland Republic	World Legend	10.8.1971 (46)	180	76	3	5	2	3	"Perfect Midfielder,Perfect Defender,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Freekick Specialist,Cannon Shooter,Maestro,Technician,Dominator of the air,Fast runner"	"Nh?c tr??ng,T?ng ?á,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,Chuyên gia ?á ph?t,??i pháo,B?c th?y,V? công,Chuyên gia không chi?n,Tia ch?p"	"???????,??????,?????,????,???,????,?????,????,????,????,?????,??"	"??? ????,??? ???,??,?????,?? ???,??? ?,??? ??????,?? ??,?????,????,??? ???,????"	"Leadership,Short tempered,Desire to win"	"Lãnh ??o,Tranh cãi tr?ng tài,N? l?c ??n cùng"	"???,?????,???"	"???,???,???"		
93000241	241	84	86	93	87	82	91	90	73	90	96	95	91	89	77	94	88	89	89	91	97	93	94	45	88	49	52	52	85	13	9	11	9	9	80	Good	Cao	?	Good	?	??	Ryan Giggs	R. Giggs	badged y2093	wl	world-league	91	"cam-90,rm-91,cm-86"	5	Wales	World Legend	29.11.1973 (44)	179	71	5	2	2	2	"Perfect Striker,Perfect Midfielder,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Maestro,Technician,Fast runner,Solver"	"Cây s?n bàn,Nh?c tr??ng,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,B?c th?y,V? công,Tia ch?p,Sát th?"	"???????,???????,????,?????,????,?????,????,????,????,????,??,???"	"??? ???,??? ????,???,??,?????,??? ??????,?? ???,?? ??,?????,????,????,???"	"Prefer main feet,Prefer early cross (AI),Sharp curling shot,Impressive Skill,Celebrity"	"Tránh sai chân thu?n,T?t bóng s?m (AI),Sút xoáy,Tinh t?,Ngôi sao ???c yêu thích"	"?????,???? (AI),????,????,????"	"?? ??,???? (AI),??? ????,??? ???,???"		
93000244	244	46	63	69	45	66	48	49	84	60	90	88	82	93	80	95	85	88	86	81	93	81	77	87	81	93	91	91	86	15	12	9	14	10	93	Average	TB	?	Normal	??	????????	Gary Neville	G. Neville	badged y2093	wl	world-league	89	rb-89	5	England	World Legend	18.2.1975 (43)	179	79	3	5	2	3	"Perfect Defender,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Dominator of the air,Fast runner"	"T?ng ?á,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,Chuyên gia không chi?n,Tia ch?p"	"??????,?????,????,???,????,?????,??"	"??? ???,??,?????,?? ???,??? ?,??? ???,????"	"Long Throw In,Leadership,Prefer early cross (AI),Prefer long pass (AI)"	"Ném biên xa,Lãnh ??o,T?t bóng s?m (AI),Chuy?n dài (AI)"	"?????,???,???? (AI),???? (AI)"	"??? ???,???,???? (AI),? ?? ?? (AI)"		
93000388	388	40	63	37	37	44	35	51	96	51	88	86	76	88	88	93	99	77	77	69	56	66	60	88	69	89	92	92	90	16	12	17	14	10	91	Good	Cao	?	Good	?	??	Sol Campbell	S. Campbell	badged y2093	wl	world-league	89	cb-89	5	England	World Legend	18.9.1974 (43)	188	86	3	5	1	2	"Perfect Defender,Tanker,Vacuum Cleaner,Wall of Wail,Dominator of the air,Fast runner"	"T?ng ?á,Chi?n binh,Máy quét,B?c t??ng thép,Chuyên gia không chi?n,Tia ch?p"	"??????,?????,???,????,?????,??"	"??? ???,??,?? ???,??? ?,??? ???,????"	"Steel Body,Prefer sliding tackle (AI),Leadership,Strong Header"	"C?ng c?i,Xo?c bóng (AI),Lãnh ??o,?ánh ??u m?nh"	"????,???? (AI),???,????"	"???,???? ?? ?? (AI),???,??? ??"		
93000393	393	91	91	75	87	88	81	88	91	90	89	85	78	91	90	88	91	77	78	73	78	82	85	46	81	37	43	39	72	12	20	19	12	16	93	Good	Cao	?	Good	?	??	Teddy Sheringham	T. Sheringham	badged y2093	wl	world-league	88	"st-88,cf-86"	5	England	World Legend	2.4.1966 (51)	185	79	3	5	3	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Dominator of the air,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p"	"???????,????,?????,????,?????,????,????,????,?????,??"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,??? ???,????"	"Sharp curling shot,Strong Header"	"Sút xoáy,?ánh ??u m?nh"	"????,????"	"??? ????,??? ??"		
93000570	93000570	85	96	84	90	88	92	87	67	88	89	90	96	83	62	92	84	99	87	83	81	96	92	51	86	65	34	55	81	14	20	17	18	14	92	Good	Cao	?	Good	?	??	Jay-Jay Okocha	J. Okocha	badged y2093	wl	world-league	88	cam-88	5	Nigeria	World Legend	14.8.1973 (44)	173	70	4	5	2	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p"	"???????,????,?????,????,?????,????,????,????,??"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????"	"Impressive Skill,Prefer long shot (AI),Play maker (AI)"	"Tinh t?,Sút xa (AI),Ki?n t?o (AI)"	"????,??? (AI),????? (AI)"	"??? ???,??? ? ?? (AI),??? ??? (AI)"		
93000805	93000805	15	49	13	21	22	15	31	38	18	46	64	48	69	77	44	87	46	32	18	16	27	14	28	23	14	13	14	19	92	91	88	90	92	94	Low	Th?p	?	Low	?	???	Jens Lehmann	J. Lehmann	badged y2093	wl	world-league	88	gk-88	1	Germany	World Legend	10.11.1969 (48)	190	88	3	5	2	2	Tanker	Chi?n binh	?????	??	"GK Long Throw,GK Proficient 1:1 Defense"	"Th? môn ném xa,TM ??i m?t"	"GK ?????,GK1?1"	"GK ?? ???,GK ??? 1:1 ??"		
