pid	imageid	finishing	shotpower	curve	longshots	volleys	freekickaccuracy	penalties	headingaccuracy	positioning	sprintspeed	acceleration	agility	reactions	jumping	stamina	strength	balance	shortpassing	longpassing	crossing	ballcontrol	dribbling	tacticalawareness	vision	standingtackle	slidingtackle	marking	aggression	gkdiving	gkhandling	gkkicking	gkreflexes	gkpositioning	poten	perfcon	perfcon_vn	perfcon_cn	perfcon_id	perfcon_kr	perfcon_th	fullname	shortname	badged	season	league	overallrating	positions	skillmoves	nation	club	birthday	height	weight	leftfoot	rightfoot	attack	defence	speciality	speciality_vn	speciality_cn	speciality_kr	hidden_score	hidden_score_vn	hidden_score_cn	hidden_score_kr	isliveboost	boostvalue
91000041	91000041	75	75	79	84	77	78	76	64	92	87	85	93	87	59	89	70	83	95	91	87	94	91	67	94	59	59	61	59	13	13	13	17	16	85	Good	Cao	?	Good	?	??	Iniesta	Iniesta	badged y2091	xi		90	"rw-88,cam-90,rm-89,cm-88"	5	Spain	WORLD BEST	11.5.1984 (33)	169	64	4	5	3	2	"Perfect Midfielder,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Maestro,Technician,Fast runner"	"Nh?c tr??ng,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,B?c th?y,V? công,Tia ch?p"	"???????,????,?????,????,????,????,????,??"	"??? ????,?????,??? ??????,?? ???,?? ??,?????,????,????"	"Sharp curling shot,Play maker (AI),Pass master"	"Sút xoáy,Ki?n t?o (AI),Chuyên gia chuy?n bóng"	"????,????? (AI),????"	"??? ????,??? ??? (AI),?? ???"		
91001179	91001179	18	32	21	19	19	18	34	21	27	52	63	80	84	79	59	81	62	32	39	17	30	21	34	81	20	22	20	83	88	91	84	89	95	92	Excellent	R?t cao	??	Excellent	??	??????	Gianluigi Buffon	G. Buffon	badged y2091	xi		89	gk-89	1	Italy	WORLD BEST	28.1.1978 (40)	191	82	3	5	2	2	"Tanker,Acrobatic"	"Chi?n binh,Ngh? s?"	"?????,????"	"??,?????"	"Leadership,GK Proficient 1:1 Defense"	"Lãnh ??o,TM ??i m?t"	"???,GK1?1"	"???,GK ??? 1:1 ??"		
91001625	91001625	94	87	89	85	87	88	86	73	89	94	91	91	92	66	84	80	85	90	63	75	86	90	29	84	24	19	22	47	16	11	11	16	13	90	Excellent	R?t cao	??	Excellent	??	??????	Thierry Henry	T. Henry	badged y2091	xi		87	"st-87,cf-88,rf-88"	5	France	WORLD BEST	17.8.1977 (40)	188	83	4	5	2	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Cannon Shooter,Technician,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,??i pháo,V? công,Tia ch?p,Sát th?"	"???????,????,?????,????,?????,????,????,??,???"	"??? ???,???,??,?????,??? ??????,?? ??,????,????,???"	"Sharp curling shot,Impressive Skill"	"Sút xoáy,Tinh t?"	"????,????"	"??? ????,??? ???"		
91005471	91005471	89	92	87	95	88	87	90	75	88	80	76	79	88	71	90	84	81	90	90	84	88	81	67	90	65	66	63	81	13	12	12	12	14	85	Excellent	R?t cao	??	Excellent	??	??????	Frank Lampard	F. Lampard	badged y2091	xi		87	"cam-87,rm-85,cm-86"	5	England	WORLD BEST	20.6.1978 (39)	183	83	4	5	2	2	"Perfect Striker,Perfect Midfielder,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Maestro,Technician,Solver"	"Cây s?n bàn,Nh?c tr??ng,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,B?c th?y,V? công,Sát th?"	"???????,???????,????,?????,????,?????,????,????,????,????,???"	"??? ???,??? ????,???,??,?????,??? ??????,?? ???,?? ??,?????,????,???"	"Steel Body,Leadership,Prefer long pass (AI),Prefer long shot (AI),Play maker (AI)"	"C?ng c?i,Lãnh ??o,Chuy?n dài (AI),Sút xa (AI),Ki?n t?o (AI)"	"????,???,???? (AI),??? (AI),????? (AI)"	"???,???,? ?? ?? (AI),??? ? ?? (AI),??? ??? (AI)"		
91005479	91005479	19	36	22	18	25	23	33	20	60	67	71	69	89	83	54	66	56	29	33	22	37	21	36	57	20	20	21	32	93	89	78	95	89	88	Excellent	R?t cao	??	Excellent	??	??????	Casillas	Casillas	badged y2091	xi		90	gk-90	1	Spain	WORLD BEST	20.5.1981 (36)	182	79	5	3	2	2					"Leadership,GK Long Throw,GK Proficient 1:1 Defense"	"Lãnh ??o,Th? môn ném xa,TM ??i m?t"	"???,GK ?????,GK1?1"	"???,GK ?? ???,GK ??? 1:1 ??"		
91007289	91007289	51	65	62	31	54	35	58	90	75	84	84	65	84	86	80	91	83	71	51	50	70	51	85	82	90	89	90	90	14	19	14	18	15	88	Excellent	R?t cao	??	Excellent	??	??????	Rio Ferdinand	R. Ferdinand	badged y2091	xi		86	"cdm-79,cb-86"	5	England	WORLD BEST	7.11.1978 (39)	189	82	3	5	2	2	"Perfect Defender,Tanker,Vacuum Cleaner,Wall of Wail,Dominator of the air,Fast runner"	"T?ng ?á,Chi?n binh,Máy quét,B?c t??ng thép,Chuyên gia không chi?n,Tia ch?p"	"??????,?????,???,????,?????,??"	"??? ???,??,?? ???,??? ?,??? ???,????"	"Steel Body,Leadership,Short tempered,Strong Header,Fantastic clear"	"C?ng c?i,Lãnh ??o,Tranh cãi tr?ng tài,?ánh ??u m?nh,Siêu c?n phá"	"????,???,?????,????,?????"	"???,???,???,??? ??,??? ????"		
91007763	91007763	57	80	91	88	85	92	87	68	88	80	76	81	77	57	88	67	82	91	89	84	93	87	70	92	77	64	68	77	14	15	16	19	15	90	Good	Cao	?	Good	?	??	Andrea Pirlo	A. Pirlo	badged y2091	xi		86	"cam-85,cm-86,cdm-80"	5	Italy	WORLD BEST	19.5.1979 (38)	177	68	3	5	1	2	"Perfect Midfielder,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Maestro,Technician"	"Nh?c tr??ng,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,B?c th?y,V? công"	"???????,????,?????,????,????,????,????"	"??? ????,?????,??? ??????,?? ???,?? ??,?????,????"	"Sharp curling shot,Prefer long pass (AI),Play maker (AI)"	"Sút xoáy,Chuy?n dài (AI),Ki?n t?o (AI)"	"????,???? (AI),????? (AI)"	"??? ????,? ?? ?? (AI),??? ??? (AI)"		
91009014	91009014	85	83	88	88	86	88	85	63	84	89	91	89	91	72	87	81	96	81	80	85	91	93	38	85	33	32	31	59	14	13	16	20	9	92	Good	Cao	?	Good	?	??	Arjen Robben	A. Robben	badged y2091	xi		87	"rw-87,rm-87"	5	Holland	WORLD BEST	23.1.1984 (34)	181	80	5	2	3	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p"	"???????,????,?????,????,?????,????,????,????,??"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????"	"Prefer main feet,Sharp curling shot,Prefer long shot (AI)"	"Tránh sai chân thu?n,Sút xoáy,Sút xa (AI)"	"?????,????,??? (AI)"	"?? ??,??? ????,??? ? ?? (AI)"		
91009676	91009676	93	88	85	83	88	79	72	82	88	93	94	84	89	77	85	78	84	86	71	76	88	86	44	85	36	32	19	73	12	11	11	11	12	91	Good	Cao	?	Good	?	??	Samuel Eto'o	S. Eto'o	badged y2091	xi		87	"st-87,cf-88,rf-88"	5	Cameroon	WORLD BEST	10.3.1981 (36)	180	74	3	5	2	2	"Perfect Striker,Goal Getter,Acrobatic,Freekick Specialist,Cannon Shooter,Technician,Dominator of the air,Fast runner,Solver"	"Cây s?n bàn,X? th?,Ngh? s?,Chuyên gia ?á ph?t,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p,Sát th?"	"???????,????,????,?????,????,????,?????,??,???"	"??? ???,???,?????,??? ??????,?? ??,????,??? ???,????,???"	Impressive Skill	Tinh t?	????	??? ???		
91010535	91010535	75	76	83	80	69	84	78	59	87	77	77	89	88	58	87	69	85	96	93	93	93	89	71	93	70	71	56	65	10	12	12	11	12	90	Excellent	R?t cao	??	Excellent	??	??????	Xavi	Xavi	badged y2091	xi		88	"cam-88,rm-88,cm-88,cdm-80"	5	Spain	WORLD BEST	25.1.1980 (38)	170	68	3	5	2	2	"Perfect Midfielder,Acrobatic,Freekick Specialist,Delivery cross,Maestro,Technician"	"Nh?c tr??ng,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,B?c th?y,V? công"	"???????,????,?????,????,????,????"	"??? ????,?????,??? ??????,?? ???,?????,????"	"Steel Body,Play maker (AI),Celebrity,Pass master"	"C?ng c?i,Ki?n t?o (AI),Ngôi sao ???c yêu thích,Chuyên gia chuy?n bóng"	"????,????? (AI),????,????"	"???,??? ??? (AI),???,?? ???"		
